,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
9,house,independent,sector 105,1.2,10118.0,1186.0,Plot area 1185.51(110.14 sq.m.),6.0,2.0,1,2.0,North-West,Old Property,,1185.51,,0.0,0.0,0.0,0.0,0.0,0.0,9.0
15,house,independent,sector 12,1.2,14184.0,846.0,Plot area 846(78.6 sq.m.)Built Up area: 846 sq.ft. (78.6 sq.m.),4.0,4.0,2,2.0,North,Relatively New,,846.0,,0.0,0.0,0.0,1.0,0.0,1.0,7.0
37,house,independent,sector 104,0.45,12162.0,370.0,Plot area 370(34.37 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4.0,4.0,2,4.0,North,Moderately Old,,,1500.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
48,house,ganpati heights apartment,sector 13,1.25,12077.0,1035.0,Plot area 115(7692.86 sq.m.),10.0,6.0,2,3.0,South-East,Old Property,,115.0,,0.0,0.0,0.0,0.0,1.0,0.0,7.0
74,house,independent,sector 25,7.6,38756.0,1961.0,Plot area 215(179.77 sq.m.),9.0,9.0,3,4.0,East,Relatively New,,1935.0,,1.0,0.0,1.0,1.0,0.0,1.0,84.0
93,house,independent,sector 105,1.1,12222.0,900.0,Carpet area: 900 (83.61 sq.m.),6.0,4.0,1,1.0,South-West,Undefined,,,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,flat,pivotal devaan,sector 84,0.34,7039.0,483.0,Carpet area: 483 (44.87 sq.m.),2.0,2.0,1,1.0,East,Relatively New,,,483.0,0.0,0.0,1.0,0.0,0.0,1.0,84.0
99,house,independent,sector 4,1.1,11111.0,990.0,Built Up area: 990 (91.97 sq.m.),6.0,4.0,1,2.0,North,Undefined,,990.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,flat,breez global heights 88a,sector 88a,0.5,8375.0,597.0,Carpet area: 597 (55.46 sq.m.),3.0,2.0,2,2.0,,Under Construction,,,597.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
140,house,independent,sector 28,0.7,8102.0,864.0,Plot area 864(80.27 sq.m.),4.0,2.0,0,2.0,North,Old Property,,864.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0
186,house,independent,sector 13,1.5,11538.0,1300.0,Plot area 1300(120.77 sq.m.),10.0,7.0,3,4.0,East,Moderately Old,,1300.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,flat,central park flower valley,sector 33,1.4,21538.0,650.0,Super Built up area 650(60.39 sq.m.),3.0,3.0,3,2.0,,Under Construction,650.0,,,0.0,0.0,0.0,0.0,0.0,0.0,54.0
209,flat,pyramid urban homes 2,sector 86,0.42,8485.0,495.0,Carpet area: 501 (46.54 sq.m.),2.0,2.0,1,2.0,North-East,New Property,,,501.0,1.0,1.0,0.0,1.0,1.0,0.0,84.0
211,flat,ramsons kshitij,sector 95,0.4,5839.0,685.0,Carpet area: 685 (63.64 sq.m.),3.0,2.0,2,6.0,,Undefined,,,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,house,bhawani enclave,sector 12,0.42,8235.0,510.0,Plot area 565(52.49 sq.m.)Carpet area: 510 sq.ft. (47.38 sq.m.),3.0,3.0,0,2.0,East,New Property,,,510.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
222,flat,gls avenue 51,sector 92,0.5,7812.0,640.0,Carpet area: 640 (59.46 sq.m.),3.0,3.0,1,12.0,,New Property,,,640.0,0.0,0.0,0.0,0.0,0.0,2.0,95.0
229,house,rk excelo,sector 12,0.6,13333.0,450.0,Plot area 50(4.65 sq.m.)Built Up area: 30 sq.ft. (2.79 sq.m.)Carpet area: 15 sq.ft. (1.39 sq.m.),5.0,3.0,2,3.0,North,Moderately Old,,30.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
247,house,independent,sector 7,0.89,18658.0,477.0,Plot area 477(44.31 sq.m.),5.0,3.0,2,2.0,East,Old Property,,477.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.0
255,house,uppal southend,sector 49,3.75,25562.0,1467.0,Plot area 163(136.29 sq.m.),6.0,6.0,3,3.0,East,Moderately Old,,1467.0,,0.0,0.0,0.0,0.0,1.0,0.0,49.0
293,house,sector 57 huda,sector 57,3.8,26063.0,1458.0,Plot area 162(135.45 sq.m.)Built Up area: 162 sq.yards (135.45 sq.m.)Carpet area: 160 sq.yards (133.78 sq.m.),8.0,8.0,3+,4.0,East,Relatively New,,162.0,160.0,0.0,0.0,1.0,1.0,0.0,1.0,94.0
328,flat,gls arawali homes,sohna road,0.28,5983.0,468.0,Carpet area: 468 (43.48 sq.m.),2.0,2.0,2,3.0,,Relatively New,,,468.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
343,house,sector 38 rwa,sector 38,4.3,28782.0,1494.0,Plot area 166(138.8 sq.m.)Built Up area: 165 sq.yards (137.96 sq.m.)Carpet area: 164 sq.yards (137.12 sq.m.),9.0,9.0,3+,3.0,East,Relatively New,,165.0,164.0,0.0,0.0,0.0,1.0,1.0,1.0,41.0
387,house,independent,sector 12,0.65,6500.0,1000.0,Carpet area: 1000 (92.9 sq.m.),6.0,2.0,3,1.0,,Undefined,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,house,independent,sector 2,1.0,8230.0,1215.0,Plot area 135(112.88 sq.m.),9.0,7.0,3+,3.0,North,Moderately Old,,1215.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
492,flat,signature global solera,sector 107,0.29,5930.0,489.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,3.0,East,Relatively New,,,489.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
