,property_type,sector,price,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
0,flat,sector 36,0.82,3.0,2.0,2,2.0,New Property,850.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
1,flat,sector 89,0.95,2.0,2.0,2,4.0,New Property,1226.0,1.0,1.0,0.0,0.0,0.0,0.0,38.0
2,flat,sector 86,0.46,2.0,2.0,1,0.0,Under Construction,681.41,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3,flat,sohna road,0.32,2.0,2.0,1,17.0,New Property,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
4,flat,sector 92,1.6,3.0,4.0,3+,10.0,Relatively New,1615.0,0.0,1.0,0.0,0.0,1.0,1.0,174.0
5,flat,sector 102,0.48,2.0,2.0,1,5.0,Relatively New,582.0,0.0,0.0,1.0,0.0,0.0,0.0,159.0
6,flat,gwal pahari,7.5,4.0,4.0,3+,20.0,New Property,4842.0,0.0,1.0,0.0,1.0,1.0,1.0,49.0
7,flat,sector 108,2.0,3.0,3.0,3+,14.0,Relatively New,2116.0,0.0,1.0,0.0,0.0,0.0,0.0,95.0
8,flat,sector 102,1.9,3.0,4.0,3,8.0,Relatively New,1710.0,0.0,1.0,0.0,0.0,0.0,0.0,165.0
9,house,sector 105,1.2,3.0,2.0,1,2.0,Old Property,1185.51,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10,house,sector 26,4.5,3.0,3.0,2,2.0,Moderately Old,1350.0,1.0,1.0,0.0,0.0,0.0,0.0,70.0
11,house,sector 109,1.55,3.0,2.0,0,1.0,Relatively New,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,flat,sector 28,1.6,2.0,2.0,2,3.0,Relatively New,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
13,flat,sector 109,2.25,3.0,4.0,3,14.0,Relatively New,2339.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0
14,flat,sector 65,2.77,4.0,4.0,3+,3.0,Relatively New,2194.0,1.0,1.0,0.0,0.0,0.0,2.0,174.0
15,house,sector 12,1.2,2.0,4.0,2,2.0,Relatively New,846.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0
16,flat,sector 92,1.55,3.0,4.0,3,16.0,Relatively New,1805.0,0.0,1.0,0.0,0.0,0.0,1.0,60.0
17,flat,sector 85,1.09,2.0,2.0,3,9.0,Relatively New,1638.0,0.0,0.0,1.0,0.0,0.0,0.0,174.0
18,flat,sector 70a,1.15,2.0,2.0,3,4.0,New Property,1400.0,0.0,0.0,0.0,1.0,0.0,0.0,132.0
19,flat,sector 85,1.77,3.0,4.0,3+,7.0,New Property,2179.0,0.0,0.0,1.0,0.0,0.0,0.0,107.0
20,flat,sector 30,0.85,2.0,2.0,1,2.0,Old Property,734.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0
21,flat,sector 107,0.9,2.0,2.0,3+,10.0,Relatively New,1236.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0
22,flat,sector 3,1.2,2.0,2.0,3,0.0,Under Construction,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
23,flat,sector 2,0.6,1.0,1.0,1,5.0,Moderately Old,665.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0
24,house,sector 41,9.0,8.0,5.0,3+,3.0,Old Property,3240.0,0.0,1.0,1.0,1.0,0.0,1.0,26.0
25,house,sector 41,7.0,7.0,7.0,3+,3.0,Moderately Old,2475.0,1.0,1.0,1.0,1.0,0.0,2.0,151.0
26,flat,sector 28,0.9,4.0,2.0,3+,1.0,Old Property,1382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,house,sector 4,0.4,1.0,1.0,0,1.0,Moderately Old,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,house,sector 109,5.65,4.0,4.0,3+,2.0,New Property,5400.0,0.0,1.0,0.0,0.0,1.0,1.0,44.0
29,flat,sector 62,2.15,2.0,2.0,3,31.0,Under Construction,1676.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
30,house,sector 49,4.4,6.0,6.0,3,3.0,Moderately Old,2880.0,1.0,1.0,1.0,1.0,0.0,2.0,110.0
31,flat,sector 81,0.64,2.0,2.0,3,12.0,Relatively New,1361.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0
32,flat,sector 65,2.86,3.0,3.0,3,45.0,Under Construction,2267.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0
33,flat,sector 66,3.5,3.0,3.0,3,7.0,Moderately Old,2125.0,0.0,1.0,1.0,0.0,0.0,1.0,149.0
34,house,sector 89,0.7,2.0,2.0,2,14.0,Under Construction,1297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,flat,sector 86,1.54,3.0,3.0,3+,15.0,Relatively New,1780.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0
36,house,sector 48,8.25,4.0,4.0,3+,3.0,Relatively New,2160.0,0.0,1.0,1.0,0.0,0.0,1.0,160.0
